Sphere	0.0 0.0 1.9863263 1.2215284 0.0 0.0 3.0780218 0.0 0.0 0.0 0.0 0.0 5.210278 0.0 0.0 0.0 0.0 0.0 0.0 0.7543276 1.1621356 0.79914135 0.0 0.0 0.0 0.8061635 0.0 0.0 0.00490062 0.0 0.0 0.0
Sphere	0.0 0.0 1.9755988 1.2086321 0.0 0.0 3.0714421 0.0 0.0 0.0 0.0 0.0 5.205442 0.0 0.0 0.0 0.0 0.0 0.0 0.7756718 1.1810013 0.8067661 0.0 0.0 0.0 0.80402875 0.0 0.0 0.0 0.0 0.0 0.0
Sphere	0.0 0.0 1.9752657 1.1986133 0.0 0.0 3.0689428 0.0 0.0 0.0 0.0 0.0 5.1922646 0.0 0.0 0.0 0.0 0.0 0.0 0.74737966 1.1727761 0.80356896 0.0 0.0 0.0 0.7909908 0.0 0.0 0.007313465 0.0 0.0 0.0
Sphere	0.0 0.0 1.9718522 1.210096 0.0 0.0 3.1016982 0.0 0.0 0.0 0.0 0.0 5.2319484 0.0 0.0 0.0 0.0 0.0 0.0 0.7849431 1.1923028 0.8043337 0.0 0.0 0.0 0.8174557 0.0 0.0 0.0 0.0 0.0 0.0
Sphere	0.0 0.0 1.9808385 1.2020041 0.0 0.0 3.0799994 0.0 0.0 0.0 0.0 0.0 5.2119102 0.0 0.0 0.0 0.0 0.0 0.0 0.774185 1.1635265 0.79676634 0.0 0.0 0.0 0.81308377 0.0 0.0 0.0 0.0 0.0 0.0
Sphere	0.0 0.0 1.9859483 1.2099098 0.0 0.0 3.047423 0.0 0.0 0.0 0.0 0.0 5.157863 0.0 0.0 0.0 0.0 0.0 0.0 0.75300777 1.1631843 0.8045019 0.0 0.0 0.0 0.78782123 0.0 0.0 0.01683022 0.0 0.0 0.0
Sphere	0.0 0.0 1.9828506 1.2264541 0.0 0.0 3.071141 0.0 0.0 0.0 0.0 0.0 5.1812406 0.0 0.0 0.0 0.0 0.0 0.0 0.7545509 1.1579795 0.793795 0.0 0.0 0.0 0.7953456 0.0 0.0 0.0066286577 0.0 0.0 0.0
Sphere	0.0 0.0 1.9761323 1.2025708 0.0 0.0 3.0784416 0.0 0.0 0.0 0.0 0.0 5.200707 0.0 0.0 0.0 0.0 0.0 0.0 0.7614451 1.1853954 0.8087659 0.0 0.0 0.0 0.80950516 0.0 0.0 0.0111077335 0.0 0.0 0.0
Sphere	0.0 0.0 2.0000079 1.2548647 0.0 0.0 3.0299234 0.0 0.0 0.0 0.0 0.0 5.1526146 0.0 0.0 0.0 0.0 0.0 0.0 0.7481591 1.1466831 0.78494537 0.0 0.0 0.0 0.7885472 0.0 0.0 0.017026428 0.0 0.0 0.0
Sphere	0.0 0.0 1.977592 1.2026359 0.0 0.0 3.0595598 0.0 0.0 0.0 0.0 0.0 5.1854563 0.0 0.0 0.0 0.0 0.0 0.0 0.75043577 1.1545846 0.7982918 0.0 0.0 0.0 0.7947123 0.0 0.0 0.007844563 0.0 0.0 0.0
